Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
901,08/05/2025,C6,C6 - CANETA FOFA LUXO / APAGAVEL,2,AP BRAS OU MERCADO LIVRE," R$  7,00 ", R$  -   ," R$  26,00 ",Cartão de Crédito
901,08/05/2025,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  8,00 ", R$  -   ," R$  25,00 ",Cartão de Crédito
901,08/05/2025,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  4,00 ", R$  -   ," R$  16,00 ",Cartão de Crédito
901,08/05/2025,641,0641 - ESTOJO ESCOLAR REDONDO,1,AP BRAS OU MERCADO LIVRE," R$  11,00 ", R$  -   ," R$  36,00 ",Cartão de Crédito
900,08/05/2025,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",Cartão de Débito
900,08/05/2025,336,0336 - ALMOFADA VELUDO 40X40 MAE MARMORE,1,ZONA CRIATIVA," R$  33,16 ", R$  -   ," R$  75,60 ",Cartão de Débito
900,08/05/2025,637,0637 - UMIDIFICADOR GATO FOFO,1,AP BRAS OU MERCADO LIVRE," R$  23,00 ", R$  -   ," R$  72,00 ",Cartão de Débito
900,08/05/2025,312,0312 - COPO EGG GLASS 450ML BOX MAE MINHA INSPIRACAO,1,ZONA CRIATIVA," R$  23,66 ", R$  -   ," R$  69,00 ",Cartão de Débito
899,08/05/2025,78,0078 - AMPULHETA 30MIN,1,MINAS DE PRESENTES LTDA," R$  37,53 "," R$  18,80 "," R$  75,20 ",Cartão de Crédito
898,07/05/2025,440,0440 - CANECA MINI TINA 100ML FRASES,1,ZONA CRIATIVA," R$  14,90 ", R$  -   ," R$  35,00 ",Cartão de Débito
897,07/05/2025,425,0425 - CANECO VIDRO DIVA,1,UATT PRESENTES IMPORTADOS," R$  18,13 "," R$  2,45 "," R$  46,55 ",Dinheiro
896,07/05/2025,264,0264 - LATA PORTA JOIAS - MEU CORACAO E SEU,1,BRASFOOT," R$  19,98 "," R$  4,90 "," R$  44,10 ",Dinheiro
895,07/05/2025,107,0107 - BOLSA TIRACOLO POCHETE MASC,2,RMC2 COMERCIO DE VARIEDADES LTDA," R$  23,18 "," R$  42,00 "," R$  42,00 ",Dinheiro
