Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
466,11/10/2024,571,0571 - KIT CHURRASCO 9 EM 1,1,XNAMAI IMPORTADORA," R$  45,60 ", R$  -   ," R$  139,00 ",PIX
465,10/10/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,2,AP BRAS OU MERCADO LIVRE," R$  7,00 "," R$  3,00 "," R$  26,00 ",Dinheiro
464,10/10/2024,172,0172 - LUMIN N S APARECIDA USB,1,USARE LUMINÁRIAS," R$  36,90 "," R$  4,45 "," R$  84,55 ",PIX
463,10/10/2024,116,0116 - TABLET INFANTIL 12 POLEGADAS,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  13,99 "," R$  1,95 "," R$  37,05 ",PIX
462,08/10/2024,558,0558 - GARRAFA TERMICA ADULTO + 500ML,1,AP BRAS OU MERCADO LIVRE," R$  35,00 ", R$  -   ," R$  96,00 ",Cartão de Crédito
462,08/10/2024,557,0557 - GARRAFA TERMICA 500ML COM CANUDO,1,AP BRAS OU MERCADO LIVRE," R$  28,00 ", R$  -   ," R$  84,00 ",Cartão de Crédito
462,08/10/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Crédito
462,08/10/2024,517,0517 - CADERNO DISCO PEQUENO 15X21 CAPA DURA,1,AP BRAS OU MERCADO LIVRE," R$  20,00 ", R$  -   ," R$  62,00 ",Cartão de Crédito
461,07/10/2024,294,0294 - CANECA MINI TINA 100ML GRYFFINDOR,1,ZONA CRIATIVA," R$  12,26 ", R$  -   ," R$  39,00 ",Cartão de Crédito
461,07/10/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Cartão de Crédito
460,07/10/2024,412,0412 - CAIXA DE SOM BLUETOOTH LED,1,AP BRAS OU MERCADO LIVRE," R$  46,00 "," R$  4,90 "," R$  93,10 ",Dinheiro
459,05/10/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",PIX
458,05/10/2024,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  8,00 "," R$  2,00 "," R$  25,00 ",Cartão de Crédito
457,05/10/2024,341,0341 - GARRAFA TERMICA INFANTIL C ALÇA,1,AP BRAS OU MERCADO LIVRE," R$  35,00 ", R$  -   ," R$  109,00 ",Cartão de Débito
456,05/10/2024,221,0221 - CANECO CLASSIC - URBANO TO NEM AI,1,UATT PRESENTES IMPORTADOS," R$  13,58 ", R$  -   ," R$  46,00 ",Cartão de Crédito
455,05/10/2024,303,0303 - CANECA MINI TINA 100ML YODA,1,ZONA CRIATIVA," R$  12,26 ", R$  -   ," R$  39,00 ",Cartão de Crédito
455,05/10/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Cartão de Crédito
454,04/10/2024,484,0484 - CANECA MAGGIE 400ML PODEROSA,1,ZONA CRIATIVA," R$  27,90 ", R$  -   ," R$  74,00 ",Cartão de Crédito
454,04/10/2024,354,0354 - CHAVEIRO STITCH SILICONE,2,AP BRAS OU MERCADO LIVRE," R$  16,00 ", R$  -   ," R$  50,00 ",Cartão de Crédito
453,04/10/2024,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  4,00 ", R$  -   ," R$  13,50 ",Cartão de Crédito
452,04/10/2024,155,0155 - PORTA RETRATO EU TE AMO,1,GEGUTON," R$  14,32 "," R$  2,20 "," R$  41,80 ",Dinheiro
451,04/10/2024,412,0412 - CAIXA DE SOM BLUETOOTH LED,1,AP BRAS OU MERCADO LIVRE," R$  46,00 "," R$  4,90 "," R$  93,10 ",Dinheiro
450,04/10/2024,2,0002 - ALMOFADA RETANGULO GAMER,1,2DH COMERCIO E CONFECCAO LTDA," R$  18,90 ", R$  -   ," R$  49,00 ",Cartão de Crédito
449,03/10/2024,228,0228 - NECESSAIRE - VIAJAR PELO MUNDO,1,BRASFOOT," R$  23,98 ", R$  -   ," R$  59,00 ",Cartão de Crédito
448,03/10/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",PIX
448,03/10/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",PIX
447,03/10/2024,535,0535 - KIT C/ 4 COPOS AMERICANOS - PROTECAO,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  16,90 ", R$  -   ," R$  62,00 ",Cartão de Crédito
446,03/10/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Crédito
446,03/10/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Cartão de Crédito
445,02/10/2024,173,0173 - LUMIN PORTA RETRATO LOVE USB,1,USARE LUMINÁRIAS," R$  36,90 ", R$  -   ," R$  86,00 ",Cartão de Crédito
444,02/10/2024,150,0150 - PORTA TRECO CAT REDONDO,1,GEGUTON," R$  15,98 "," R$  6,65 "," R$  39,90 ",Dinheiro
444,02/10/2024,152,0152 - PORTA CANETA E CELULAR CAT,1,GEGUTON," R$  16,82 "," R$  6,65 "," R$  46,55 ",Dinheiro
444,02/10/2024,360,0360 - CADERNO PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  15,00 "," R$  6,65 "," R$  39,90 ",Dinheiro
443,02/10/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Cartão de Crédito
443,02/10/2024,C2,C2 - CANETA FOFA PERSO / CHOC,2,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  24,00 ",Cartão de Crédito
443,02/10/2024,518,0518 - CADERNO DISCO ASTRONAUTA 15X21,1,AP BRAS OU MERCADO LIVRE," R$  15,00 ", R$  -   ," R$  49,00 ",Cartão de Crédito
443,02/10/2024,360,0360 - CADERNO PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  15,00 ", R$  -   ," R$  42,00 ",Cartão de Crédito
443,02/10/2024,C7,C7 - CANETA LED OU MARCA TEXTO 3 PONTAS,1,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  19,00 ",Cartão de Crédito
443,02/10/2024,C9,C9 - CANETA FOFA STITCH / SPIN / PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  6,00 ", R$  -   ," R$  24,00 ",Cartão de Crédito
443,02/10/2024,357,0357 - BLOCO PERFUMADO CHOCOLATE,1,AP BRAS OU MERCADO LIVRE," R$  7,50 ", R$  -   ," R$  22,00 ",Cartão de Crédito
443,02/10/2024,419,0419 - CARTELA NOTAS ADESIVAS GATA,1,UATT PRESENTES IMPORTADOS," R$  15,40 ", R$  -   ," R$  42,00 ",Cartão de Crédito
442,01/10/2024,292,0292 - CANECA TINA 400ML TODOS OS DIAS,1,ZONA CRIATIVA," R$  19,50 ", R$  -   ," R$  64,00 ",Cartão de Crédito
442,01/10/2024,489,0489 - CANECA STONE 450ML SEMEIE AMOR,1,ZONA CRIATIVA," R$  27,90 ", R$  -   ," R$  74,00 ",Cartão de Crédito
441,01/10/2024,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  4,00 ", R$  -   ," R$  13,50 ",Cartão de Crédito
441,01/10/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Crédito
440,01/10/2024,89,0089 - CANECA MELHOR PRESENTE,1,PLANETA COM IMP E EXPORTACAO LTDA," R$  22,26 "," R$  16,20 "," R$  37,80 ",Dinheiro
439,01/10/2024,220,0220 - COPO CANUDO SLIM PRETO - POA,1,UATT PRESENTES IMPORTADOS," R$  7,50 "," R$  9,00 "," R$  27,00 ",Dinheiro
438,01/10/2024,163,0163 - SUPORTE LIVRO BOOK 2PCS,1,GEGUTON," R$  20,30 "," R$  10,35 "," R$  64,60 ",Dinheiro
438,01/10/2024,447,0447 - CANECA MINI TINA 100ML MARIO UP,1,ZONA CRIATIVA," R$  12,90 "," R$  10,35 "," R$  37,05 ",Dinheiro
438,01/10/2024,452,0452 - CANECA MINI TINA 100ML BELLA,1,ZONA CRIATIVA," R$  12,90 "," R$  10,35 "," R$  37,05 ",Dinheiro
438,01/10/2024,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,1,YAAY PRESENTES," R$  3,90 "," R$  10,35 "," R$  11,40 ",Dinheiro
438,01/10/2024,199,0199 - AROMAT AMBIENTES LM AROMAS,1,LM AROMAS E TERAPIAS," R$  38,00 "," R$  10,35 "," R$  46,55 ",Dinheiro
437,30/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Cartão de Débito
436,30/09/2024,442,0442 - CANECA MINI TINA 100ML CAFE FRESCO,1,ZONA CRIATIVA," R$  9,90 ", R$  -   ," R$  34,00 ",Cartão de Débito
436,30/09/2024,441,0441 - CANECA MINI TINA 100ML INSPIRACAO BOM CAFE,1,ZONA CRIATIVA," R$  9,90 ", R$  -   ," R$  34,00 ",Cartão de Débito
436,30/09/2024,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,1,YAAY PRESENTES," R$  3,90 ", R$  -   ," R$  12,00 ",Cartão de Débito
436,30/09/2024,213,0213 - MARMITA REDONDA MINI - AMOR PERFEITO,1,UATT PRESENTES IMPORTADOS," R$  13,06 ", R$  -   ," R$  38,00 ",Cartão de Débito
435,30/09/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Cartão de Crédito
435,30/09/2024,558,0558 - GARRAFA TERMICA ADULTO + 500ML,1,AP BRAS OU MERCADO LIVRE," R$  35,00 ", R$  -   ," R$  96,00 ",Cartão de Crédito
434,28/09/2024,406,0406 - CANECA CERVEJA 340ML AGUA E MALTE,1,ALL MIX," R$  16,85 ", R$  -   ," R$  49,00 ",Cartão de Crédito
433,28/09/2024,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",Dinheiro
432,28/09/2024,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",Cartão de Débito
432,28/09/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Débito
431,26/09/2024,415,0415 - COPO TÉRMICO TERMOMETRO,1,AP BRAS OU MERCADO LIVRE," R$  32,00 ", R$  -   ," R$  69,00 ",Cartão de Crédito
430,26/09/2024,121,0121 - GARRAFA TERMICA C TERMOMETRO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  14,99 "," R$  1,95 "," R$  37,05 ",PIX
429,26/09/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Cartão de Débito
428,25/09/2024,479,0479 - CANECA MOMA 500ML SUPER MARIO,1,ZONA CRIATIVA," R$  29,90 ", R$  -   ," R$  86,00 ",Cartão de Débito
427,25/09/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Dinheiro
427,25/09/2024,42,0042 - CANECA LOVE CATS ROSA,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  21,90 ", R$  -   ," R$  59,00 ",Dinheiro
426,24/09/2024,195,0195 - CANECA RV PORCELANA,1,AP BRAS OU MERCADO LIVRE," R$  16,90 ", R$  -   ," R$  49,00 ",Cartão de Crédito
425,23/09/2024,152,0152 - PORTA CANETA E CELULAR CAT,1,GEGUTON," R$  16,82 "," R$  2,45 "," R$  46,55 ",Dinheiro
424,23/09/2024,151,0151 - PORTA TRECO CAMERA LOVE,1,GEGUTON," R$  17,69 ", R$  -   ," R$  46,00 ",Cartão de Crédito
424,23/09/2024,225,0225 - REGUA DE PAREDE FOGUETE,1,UATT PRESENTES IMPORTADOS," R$  9,90 ", R$  -   ," R$  36,00 ",Cartão de Crédito
423,23/09/2024,196,0196 - ANJO LED LUMIN,1,MINAS DE PRESENTES LTDA," R$  9,00 "," R$  6,00 "," R$  18,00 ",Dinheiro
422,21/09/2024,220,0220 - COPO CANUDO SLIM PRETO - POA,1,UATT PRESENTES IMPORTADOS," R$  7,50 "," R$  9,00 "," R$  27,00 ",PIX
421,21/09/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 "," R$  2,00 "," R$  11,48 ",Cartão de Crédito
421,21/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 "," R$  2,00 "," R$  8,61 ",Cartão de Crédito
421,21/09/2024,C3,C3 - CANETA FOFA ESPECIAL,2,AP BRAS OU MERCADO LIVRE," R$  6,00 "," R$  2,00 "," R$  23,91 ",Cartão de Crédito
420,21/09/2024,457,0457 - CANECA CAMPANHIA COMO SE NAO HOUVESSE,1,ZONA CRIATIVA," R$  24,90 "," R$  23,60 "," R$  57,53 ",Cartão de Crédito
420,21/09/2024,184,0184 - LUMIN BOX AMIZADE USB,1,USARE LUMINÁRIAS," R$  49,90 "," R$  23,60 "," R$  102,87 ",Cartão de Crédito
419,20/09/2024,501,"0501 - GARRAFA WHEY 1,8LT AMIGA HIGH FIVE",1,ZONA CRIATIVA," R$  23,50 ", R$  -   ," R$  65,00 ",Cartão de Débito
418,20/09/2024,121,0121 - GARRAFA TERMICA C TERMOMETRO,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  14,99 ", R$  -   ," R$  39,00 ",PIX
417,20/09/2024,C8,C8 - CANETA FOFA MULTICORES / LED,1,AP BRAS OU MERCADO LIVRE," R$  6,00 ", R$  -   ," R$  22,00 ",Cartão de Crédito
416,20/09/2024,92,0092 - JOGO SHOT CAVEIRA VIDRO,1,PLANETA COM IMP E EXPORTACAO LTDA," R$  22,61 "," R$  10,20 "," R$  57,80 ",PIX
415,19/09/2024,415,0415 - COPO TÉRMICO TERMOMETRO,1,AP BRAS OU MERCADO LIVRE," R$  32,00 "," R$  56,00 "," R$  13,00 ",Dinheiro
414,19/09/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Cartão de Débito
414,19/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Cartão de Débito
413,19/09/2024,432,0432 - MARMITA FIT DUO - FOLHAGEM,1,UATT PRESENTES IMPORTADOS," R$  13,99 ", R$  -   ," R$  46,00 ",Dinheiro
412,18/09/2024,362,0362 - KIT MARCA TEXTO,1,AP BRAS OU MERCADO LIVRE," R$  8,50 ", R$  -   ," R$  28,00 ",Dinheiro
411,17/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 ", R$  -   ," R$  9,00 ",Cartão de Débito
411,17/09/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Débito
410,17/09/2024,68,0068 - COFRE TURMA DA MÔNICA,2,MINAS DE PRESENTES LTDA," R$  29,08 "," R$  18,80 "," R$  75,20 ",PIX
409,16/09/2024,359,0359 - CADERNO LIVRO DECORADO,1,AP BRAS OU MERCADO LIVRE," R$  15,00 ", R$  -   ," R$  39,00 ",Cartão de Débito
408,16/09/2024,255,0255 - COPO SMART - PESSOAS ESPECIAIS,1,BRASFOOT," R$  17,98 ", R$  -   ," R$  43,00 ",Cartão de Débito
407,16/09/2024,415,0415 - COPO TÉRMICO TERMOMETRO,1,AP BRAS OU MERCADO LIVRE," R$  32,00 "," R$  3,45 "," R$  65,55 ",PIX
406,14/09/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Dinheiro
405,14/09/2024,471,0471 - COPO TERMICO SNAP 300ML VILLANS,1,ZONA CRIATIVA," R$  29,90 "," R$  3,60 "," R$  68,40 ",PIX
404,13/09/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Cartão de Débito
403,13/09/2024,C8,C8 - CANETA FOFA MULTICORES / LED,1,AP BRAS OU MERCADO LIVRE," R$  6,00 ", R$  -   ," R$  22,00 ",Cartão de Crédito
402,13/09/2024,417,0417 - NECESSAIRE COM ALCA MELHOR PAI,1,UATT PRESENTES IMPORTADOS," R$  18,69 "," R$  2,45 "," R$  46,55 ",Dinheiro
401,12/09/2024,481,0481 - CANECA ROYAL 300ML PODEROSAS,1,ZONA CRIATIVA," R$  29,90 "," R$  3,75 "," R$  71,25 ",Dinheiro
400,12/09/2024,152,0152 - PORTA CANETA E CELULAR CAT,1,GEGUTON," R$  16,82 "," R$  2,45 "," R$  46,55 ",PIX
399,12/09/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",PIX
398,12/09/2024,476,0476 - CANECA MOMA 500ML STAR WARS,1,ZONA CRIATIVA," R$  29,90 ", R$  -   ," R$  86,00 ",Cartão de Débito
397,12/09/2024,102,0102 - MARMITA DONUTS COM TALHER,1,AP BRAS OU MERCADO LIVRE," R$  20,00 ", R$  -   ," R$  52,00 ",Cartão de Débito
397,12/09/2024,463,0463 - CANECA TINA 400ML AMIGA HIGH FIVE,1,ZONA CRIATIVA," R$  19,50 ", R$  -   ," R$  64,00 ",Cartão de Débito
396,11/09/2024,150,0150 - PORTA TRECO CAT REDONDO,1,GEGUTON," R$  15,98 "," R$  5,00 "," R$  39,90 ",Dinheiro
396,11/09/2024,199,0199 - AROMAT AMBIENTES LM AROMAS,1,LM AROMAS E TERAPIAS," R$  38,00 "," R$  5,00 "," R$  46,55 ",Dinheiro
396,11/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  2,00 "," R$  5,00 "," R$  8,55 ",Dinheiro
395,11/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  4,00 "," R$  2,00 "," R$  16,00 ",PIX
394,11/09/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,2,AP BRAS OU MERCADO LIVRE," R$  5,60 "," R$  2,00 "," R$  15,00 ",Cartão de Débito
393,10/09/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",PIX
393,10/09/2024,361,0361 - BLOCO DE NOTAS PERSONAGENS ESPIRAL PEQ,1,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  18,00 ",PIX
393,10/09/2024,308,0308 - CANECA BUCK 400ML PAI VOCE ME ENSINA,1,ZONA CRIATIVA," R$  23,66 ", R$  -   ," R$  64,00 ",PIX
392,09/09/2024,213,0213 - MARMITA REDONDA MINI - AMOR PERFEITO,1,UATT PRESENTES IMPORTADOS," R$  13,06 ", R$  -   ," R$  38,00 ",Dinheiro
391,06/09/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 "," R$  2,00 "," R$  11,78 ",Cartão de Crédito
391,06/09/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,2,AP BRAS OU MERCADO LIVRE," R$  7,00 "," R$  2,00 "," R$  28,46 ",Cartão de Crédito
391,06/09/2024,461,0461 - CANECA CAMPANHIA BEBER ME CHAMA,1,ZONA CRIATIVA," R$  24,90 "," R$  2,00 "," R$  64,77 ",Cartão de Crédito
390,06/09/2024,C2,C2 - CANETA FOFA PERSO / CHOC,2,AP BRAS OU MERCADO LIVRE," R$  5,00 "," R$  2,00 "," R$  23,31 ",Cartão de Crédito
390,06/09/2024,287,0287 - TACA WINDSOR - UNIDOS PELA CERVEJA,1,BRASFOOT," R$  17,98 "," R$  2,00 "," R$  44,69 ",Cartão de Crédito
389,06/09/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,2,AP BRAS OU MERCADO LIVRE," R$  5,60 "," R$  2,00 "," R$  15,00 ",PIX
388,06/09/2024,472,0472 - COPO TERMICO SNAP 300ML HARRY POTTER,1,ZONA CRIATIVA," R$  29,90 ", R$  -   ," R$  72,00 ",Cartão de Débito
387,06/09/2024,533,0533 - LUMINARIA NOSSA SRA APARECIDA LAMPADA,1,USARE LUMINÁRIAS," R$  73,60 "," R$  8,60 "," R$  163,40 ",Dinheiro
386,06/09/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",PIX
385,06/09/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 "," R$  2,00 "," R$  13,61 ",PIX
385,06/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  4,00 "," R$  2,00 "," R$  16,89 ",PIX
384,05/09/2024,22,0022 - ALMOFADA BRINCAR 25X25,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  16,90 ", R$  -   ," R$  39,00 ",Cartão de Débito
384,05/09/2024,338,0338 - FONTE CARREGADOR USB,1,AP BRAS OU MERCADO LIVRE," R$  7,00 ", R$  -   ," R$  20,00 ",Cartão de Débito
384,05/09/2024,72,0072 - LUMINARIA 3D LED N S APARECIDA,1,MINAS DE PRESENTES LTDA," R$  21,00 ", R$  -   ," R$  59,00 ",Cartão de Débito
383,05/09/2024,C9,C9 - CANETA FOFA STITCH / SPIN / PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  6,00 "," R$  5,00 "," R$  22,80 ",Dinheiro
383,05/09/2024,464,0464 - CANECA 350ML C/INFUSOR ENCHA SUA VIDA,1,ZONA CRIATIVA," R$  28,90 "," R$  5,00 "," R$  72,20 ",Dinheiro
382,04/09/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  4,00 "," R$  2,00 "," R$  16,00 ",Dinheiro
381,04/09/2024,520,0520 - KIT BORRACHA MARMITINHA,1,AP BRAS OU MERCADO LIVRE," R$  10,00 "," R$  7,55 "," R$  27,55 ",Dinheiro
381,04/09/2024,343,0343 - GARRAFA INFANTIL 500ML,1,AP BRAS OU MERCADO LIVRE," R$  19,00 "," R$  7,55 "," R$  51,30 ",Dinheiro
381,04/09/2024,467,0467 - KIT 2 MINI COPOS NAO NOS FALTE CAFE,1,ZONA CRIATIVA," R$  26,50 "," R$  7,55 "," R$  64,60 ",Dinheiro
380,03/09/2024,503,0503 - BLOCO DE NOTAS YAAY DIVERSOS,1,YAAY PRESENTES," R$  3,90 ", R$  -   ," R$  12,00 ",Cartão de Crédito
379,03/09/2024,354,0354 - CHAVEIRO STITCH SILICONE,1,AP BRAS OU MERCADO LIVRE," R$  8,00 ", R$  -   ," R$  24,00 ",Dinheiro
378,03/09/2024,525,0525 - LUMINARIA HARRY POTTER LAMPADA,1,USARE LUMINÁRIAS," R$  99,00 ", R$  -   ," R$  239,00 ",Cartão de Crédito
377,02/09/2024,434,0434 - MARMITA GRANDE PAI,1,UATT PRESENTES IMPORTADOS," R$  13,99 ", R$  -   ," R$  52,00 ",PIX
377,02/09/2024,433,0433 - MARMITA FIT DUO - PAI,1,UATT PRESENTES IMPORTADOS," R$  13,99 ", R$  -   ," R$  46,00 ",PIX
376,02/09/2024,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Cartão de Débito
376,02/09/2024,361,0361 - BLOCO DE NOTAS PERSONAGENS ESPIRAL PEQ,1,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  18,00 ",Cartão de Débito
375,02/09/2024,362,0362 - KIT MARCA TEXTO,1,AP BRAS OU MERCADO LIVRE," R$  8,50 ", R$  -   ," R$  28,00 ",Dinheiro
374,31/08/2024,167,0167 - CHAVEIRO EMBORR DIVERSOS M,2,AP BRAS OU MERCADO LIVRE," R$  5,60 "," R$  2,00 "," R$  16,44 ",Cartão de Débito
374,31/08/2024,155,0155 - PORTA RETRATO EU TE AMO,1,GEGUTON," R$  14,32 "," R$  2,00 "," R$  42,56 ",Cartão de Débito
373,31/08/2024,421,0421 - COPO TEXTURIZADO ROSA 700ML,1,UATT PRESENTES IMPORTADOS," R$  17,90 "," R$  2,95 "," R$  56,05 ",PIX
372,31/08/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 "," R$  2,00 "," R$  13,61 ",Cartão de Débito
372,31/08/2024,C1,C1 - CANETA SIMPLES OU MARCA TEXTO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  4,00 "," R$  2,00 "," R$  16,89 ",Cartão de Débito
371,31/08/2024,359,0359 - CADERNO LIVRO DECORADO,1,AP BRAS OU MERCADO LIVRE," R$  15,00 ", R$  -   ," R$  39,00 ",Cartão de Crédito
371,31/08/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Crédito
371,31/08/2024,487,0487 - CANECA 350ML C/INFUSOR GOSTO DE VOCE,1,ZONA CRIATIVA," R$  28,90 ", R$  -   ," R$  76,00 ",Cartão de Crédito
370,30/08/2024,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Cartão de Débito
369,30/08/2024,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  4,00 ", R$  -   ," R$  13,50 ",Dinheiro
368,30/08/2024,467,0467 - KIT 2 MINI COPOS NAO NOS FALTE CAFE,1,ZONA CRIATIVA," R$  26,50 ", R$  -   ," R$  68,00 ",Cartão de Crédito
367,30/08/2024,482,0482 - CANECA MAGGIE 400ML EU AMO GATOS,1,ZONA CRIATIVA," R$  27,90 ", R$  -   ," R$  74,00 ",Dinheiro
